2.810556180660212637e-15,2.792633402432955855e-15,2.789758459409698616e-15,2.049433921202615628e-15,2.015812739652350786e-15,1.991887386065910618e-15,1.978022137562940996e-15,1.974699951446615425e-15,1.982528173223844789e-15,2.002240184516819872e-15,2.034690226329493606e-15,2.080837470085016100e-15,2.141715298977559431e-15,2.218381676441844131e-15,2.311849039029782400e-15,2.422996796452191472e-15,2.552477634817000487e-15,2.700638946170096705e-15,2.867487978692412905e-15,3.052728470147412551e-15,3.255879609618964441e-15,3.476459150597765905e-15,3.714182167004114089e-15,3.969116878843409083e-15,4.241759957952741602e-15,4.533034864327538808e-15,4.844252832202476830e-15,5.177084492199764750e-15,5.533574699411805239e-15,5.916212619713433918e-15,6.328056951090904978e-15,6.772922101080337944e-15,7.255641089616139792e-15,7.782432159588314135e-15,8.361420663534619055e-15,9.003384793724818871e-15,9.722842999547213847e-15,1.053967066243654148e-14,1.148154198886645148e-14,1.258772694335085442e-14,1.391513480993912448e-14,1.554825974615410744e-14,1.761613031368740339e-14,2.031969795446785691e-14,2.399780941507043843e-14,2.922255357917577137e-14,3.703747214744002795e-14,4.947266685918890493e-14,7.079378856422422394e-14,1.109287859616852195e-13
2.369123295157947236e-15,2.338639642956274129e-15,2.319885823360951627e-15,1.748878460843405522e-15,1.710652072652021110e-15,1.680212466500905190e-15,1.657742620782506547e-15,1.643515952419086015e-15,1.637903121018998335e-15,1.641377689655312041e-15,1.654519171788295670e-15,1.678011437801281721e-15,1.712633376674484641e-15,1.759238651553547969e-15,1.818721016389131903e-15,1.891962761228627566e-15,1.979767566695458380e-15,2.082784325631775727e-15,2.201436680689694324e-15,2.335880842336815297e-15,2.486015909706331600e-15,2.651562592974644556e-15,2.832204262201904228e-15,3.027758329987698131e-15,3.238329651483475385e-15,3.464406788019776910e-15,3.706892591089757006e-15,3.967093426220920529e-15,4.246710983284590954e-15,4.547869567313534542e-15,4.873198340605587107e-15,5.225976015657288074e-15,5.610345300377362855e-15,6.031620929524337988e-15,6.496723239997671080e-15,7.014807858302397049e-15,7.598175634500225001e-15,8.263632515625521809e-15,9.034551810844516342e-15,9.944079736816086888e-15,1.104026338157180638e-14,1.239450568566607028e-14,1.411601453364398554e-14,1.637753822844935998e-14,1.946336843625068853e-14,2.386059817862936834e-14,3.046913265122431693e-14,4.103150881924841064e-14,5.924461583943914891e-14,9.373883054759342267e-14
2.013293374652234818e-15,1.975645257484273794e-15,1.947307664245382866e-15,1.502643351415409031e-15,1.462501389171492273e-15,1.428727035418140049e-15,1.401382548368424667e-15,1.380597865309364801e-15,1.366577092295767799e-15,1.359603114230976458e-15,1.360044252672137665e-15,1.368357391918028407e-15,1.385088638838824396e-15,1.410868661827222375e-15,1.446399893926337051e-15,1.492432790265628366e-15,1.549729120724129938e-15,1.619011208104221732e-15,1.700901672962028716e-15,1.795863116541712863e-15,1.904154536919855873e-15,2.025825226877477612e-15,2.160763003107646423e-15,2.308799439536540341e-15,2.469852897543719027e-15,2.644072850379210830e-15,2.831948077910573848e-15,3.034362885120461565e-15,3.252613704135017505e-15,3.488421082631030778e-15,3.743972422413903654e-15,4.022018352051170219e-15,4.326038351971728532e-15,4.660488561181635922e-15,5.031161067595377717e-15,5.445702604603222334e-15,5.914371054643416438e-15,6.451165143442122333e-15,7.075539098951512306e-15,7.815080422380702437e-15,8.709791184834263929e-15,9.819186335132758963e-15,1.123443324321737396e-14,1.310004983378437676e-14,1.565449925676153903e-14,1.931037161381754045e-14,2.481970777048163031e-14,3.366755572920118675e-14,4.899735493069657760e-14,7.820040361607444882e-14
1.723483507387487641e-15,1.682280959976557044e-15,1.648609257329956217e-15,1.299020419874329604e-15,1.258721308524014850e-15,1.223718745941113153e-15,1.193997373025808487e-15,1.169592493267930142e-15,1.150594921563975838e-15,1.137154846510969450e-15,1.129487901327616933e-15,1.127879587650352129e-15,1.132689346293922583e-15,1.144352450897447510e-15,1.163378352486666953e-15,1.190343131437256606e-15,1.225874099987065433e-15,1.270623892953622449e-15,1.325233401932704898e-15,1.390285192346629696e-15,1.466253687207201691e-15,1.553464276931071565e-15,1.652077909568664068e-15,1.762117591441303074e-15,1.883544160341950174e-15,2.016372609583769760e-15,2.160802806963770039e-15,2.317332701913311163e-15,2.486833702259849388e-15,2.670592121235985183e-15,2.870342927547525597e-15,3.088329329178335454e-15,3.327416829895984468e-15,3.591282916396351368e-15,3.884704517738594699e-15,4.213980383093186545e-15,4.587552322323197480e-15,5.016931392851692533e-15,5.518110714876663881e-15,6.113770586006953176e-15,6.836819790562303770e-15,7.736266524895757965e-15,8.887300809768162185e-15,1.040934728859270756e-14,1.249993481034650823e-14,1.550179643923303967e-14,2.004443538304636191e-14,2.736201162243575672e-14,4.010234282923231551e-14,6.449927672929180381e-14
1.485137192337778073e-15,1.442763923088593460e-15,1.406591340640757990e-15,1.129175314191346570e-15,1.089840712625355367e-15,1.054980065042311565e-15,1.024530123515742313e-15,9.984658796049623058e-16,9.768039237590004100e-16,9.596052374832801885e-16,9.469799399985430410e-16,9.390912684270762479e-16,9.361600373074226881e-16,9.384685417066458505e-16,9.463632069348741220e-16,9.602548168564091066e-16,9.806147921978239689e-16,1.007965465737152371e-15,1.042862758290313046e-15,1.085869629006363721e-15,1.137521108108001123e-15,1.198284593117856549e-15,1.268523826711474807e-15,1.348479525162972214e-15,1.438281093228547533e-15,1.537999523989895393e-15,1.647739793940184175e-15,1.767755567944354663e-15,1.898562840674593330e-15,2.041028068082774848e-15,2.196432065083582278e-15,2.366525297978772185e-15,2.553607894910748749e-15,2.760664460129387548e-15,2.991583577672640372e-15,3.251493411410614727e-15,3.547262989501846401e-15,3.888255802376701991e-15,4.287478626108418455e-15,4.763383085486776821e-15,5.342758389668272512e-15,6.065539282422119786e-15,6.993082917333793611e-15,8.223016283774265492e-15,9.917165712648888586e-15,1.235702694593489179e-14,1.606111863185309620e-14,2.205232749593894287e-14,3.252252655416229932e-14,5.265955232702318911e-14
1.287337347590128950e-15,1.245334327783817632e-15,1.208523533869693587e-15,9.863784096193256611e-16,9.486965204679020472e-16,9.148448834494106655e-16,8.847323990576732493e-16,8.582973214443576298e-16,8.355091800301040089e-16,8.163711541580488347e-16,8.009229338733333445e-16,7.892440372343426538e-16,7.814574890754339563e-16,7.777336743724885106e-16,7.782939833712163509e-16,7.834138884712066299e-16,7.934242795964810820e-16,8.087102515178666293e-16,8.297056388126138848e-16,8.568818593899538375e-16,8.907296518575381139e-16,9.317336287312497557e-16,9.803417131151523121e-16,1.036935109450949197e-15,1.101808480922683198e-15,1.175172603021538672e-15,1.257190108406518724e-15,1.348047499572669256e-15,1.448054586045587103e-15,1.557752768496259749e-15,1.678013305896410279e-15,1.810119380084415640e-15,1.955844071351819167e-15,2.117552735669175092e-15,2.298364385956124796e-15,2.502407976908646929e-15,2.735218721153386957e-15,3.004341451105680815e-15,3.320258118108514662e-15,3.697842572459537039e-15,4.158703904853538110e-15,4.735086360068415598e-15,5.476594108343638385e-15,6.462282938352434048e-15,7.823446616861790986e-15,9.788987631648802290e-15,1.278163184339426796e-14,1.763771863576862113e-14,2.615525989763628612e-14,4.261151620817550132e-14
1.121824756732479642e-15,1.081153856695486440e-15,1.044901663225414179e-15,8.654537661580826214e-16,8.298192457525296996e-16,7.975016748907549289e-16,7.683953315743167663e-16,7.424174424504922819e-16,7.195093022702246956e-16,6.996377727784071296e-16,6.827971804082497047e-16,6.690116346787972372e-16,6.583377632244973231e-16,6.508678039765270932e-16,6.467329229587892019e-16,6.461066734273808064e-16,6.492079808998911262e-16,6.563032815883358710e-16,6.677069173422305996e-16,6.837786460858687984e-16,7.049169887006009129e-16,7.315473426529374599e-16,7.641041582563836717e-16,8.030083587285247472e-16,8.486435544145821526e-16,9.013381091873793085e-16,9.613628986405313270e-16,1.028955100461615916e-15,1.104373808602478022e-15,1.187985789023936260e-15,1.280362344628764557e-15,1.382392925367283611e-15,1.495373263343138366e-15,1.621110888124369864e-15,1.762052798261762543e-15,1.921479041336024287e-15,2.103806767312774861e-15,2.315064896696017912e-15,2.563632834498364228e-15,2.861405371531608682e-15,3.225674941863015833e-15,3.682266970458278025e-15,4.270958457937231842e-15,5.055234098821318703e-15,6.140711005701870218e-15,7.711892332524783587e-15,1.011028600476403630e-14,1.401328809645468053e-14,2.088142113265889966e-14,3.420045362993809409e-14
9.823101590601948520e-16,9.435229433465339924e-16,9.085661607830820960e-16,7.623824103165452640e-16,7.289922350464849411e-16,6.985024502136572206e-16,6.708010233259068855e-16,6.457946122430704148e-16,6.234086000879063823e-16,6.035882748035521652e-16,5.862998346651596186e-16,5.715319429601517222e-16,5.592976052012446034e-16,5.496364158094465737e-16,5.426171301389934988e-16,5.383406128594276839e-16,5.369428367493212307e-16,5.385978603310725035e-16,5.435203108582719361e-16,5.519668174299283009e-16,5.642355204742550825e-16,5.806627536543045160e-16,6.016158563415632416e-16,6.274814562820946346e-16,6.586495786445591166e-16,6.954959194621418217e-16,7.383670627079258292e-16,7.875765383695924398e-16,8.434207849328386142e-16,9.062229773899318331e-16,9.764021075019982489e-16,1.054573459403788852e-15,1.141649393033110853e-15,1.238954219471896254e-15,1.348347290989029631e-15,1.472381637415352637e-15,1.614538604473475042e-15,1.779594021174443353e-15,1.974197306675964284e-15,2.207794653803467097e-15,2.494127250019996701e-15,2.853734387481609214e-15,3.318283590463060265e-15,3.938383003423878160e-15,4.798355803367603129e-15,6.045765198589710467e-15,7.954295519085708550e-15,1.106803897278289940e-14,1.656309615089482108e-14,2.725446570365335180e-14
8.640015928098607641e-16,8.273350783436801791e-16,7.940802391807573335e-16,6.740162625641775200e-16,6.429340189906768700e-16,6.144100851174387517e-16,5.883301355832304188e-16,5.645964991609591428e-16,5.431268614448509956e-16,5.238546718063671975e-16,5.067296269583291725e-16,4.917185799353633902e-16,4.788069819105203706e-16,4.679999485178093647e-16,4.593245444618568469e-16,4.528317789206072234e-16,4.485990947131149523e-16,4.467330900587516972e-16,4.473723160021585278e-16,4.506898955151842037e-16,4.568955494580646885e-16,4.662365099255520373e-16,4.789965032332288880e-16,4.954920702520310142e-16,5.160655816082559825e-16,5.410749283434239829e-16,5.708812209085418495e-16,6.058379120386095356e-16,6.462872293100510128e-16,6.925717796072913406e-16,7.450690421522804379e-16,8.042531497083698852e-16,8.707827493019219170e-16,9.456092845265697890e-16,1.030102650852468763e-15,1.126194149548090091e-15,1.236580246767058313e-15,1.364999667679828884e-15,1.516687347236197304e-15,1.699095540907197687e-15,1.923075856067834108e-15,2.204861271082853455e-15,2.569504204881289129e-15,3.057086038815295858e-15,3.734480428458725746e-15,4.718895885419026518e-15,6.228099506233503599e-15,8.695877251786641476e-15,1.306197719669963534e-14,2.158131608818442649e-14
7.632729266230111450e-16,7.287027847427539178e-16,6.972977636457844920e-16,5.978745337921283893e-16,5.690694785365184527e-16,5.425439454585247268e-16,5.181793583219700761e-16,4.958762099465333503e-16,4.755492174246156131e-16,4.571263076460940510e-16,4.405483641659989239e-16,4.257696736851764139e-16,4.127588243236535766e-16,4.014993303093631326e-16,3.919912030681099803e-16,3.842523349120201237e-16,3.783203317716471831e-16,3.742546482158153620e-16,3.721389837369419894e-16,3.720838636931253158e-16,3.742292551748251400e-16,3.787469271326370437e-16,3.858422363388015454e-16,3.957547633950292097e-16,4.087571465363276964e-16,4.251517754536785824e-16,4.452649251811092131e-16,4.694393268795481921e-16,4.980273018618513863e-16,5.313890641633822576e-16,5.699025687442585542e-16,6.139925469977785862e-16,6.641848749824354073e-16,7.211890624965803486e-16,7.860081704667661978e-16,8.600762276942640522e-16,9.454321713656346484e-16,1.044957163418445352e-15,1.162728886727338024e-15,1.304583683072568772e-15,1.479039819868408635e-15,1.698854827363827919e-15,1.983735651732915757e-15,2.365243292725906838e-15,2.896097594908323223e-15,3.668824013289568507e-15,4.855592788360156942e-15,6.799949069985980122e-15,1.024757775795185319e-14,1.699158948825642941e-14
